主文/留言,作者,時間,標題,推/噓,內容
回覆,febjoy,2021/11/22 11:31,[新聞] 市場震盪加劇 定期定額投資基金年增4成,無,剛好看到順手回 開戶時都會要求要填職業類別(避免是犯罪分子)，高資產客戶或中小企業主 是看是不是法人戶及投資一定金額以上的人~給參
回覆,nisi0773,2021/11/22 11:31,剛好看到順手回 開戶時都會要求要填職業類別(避免是犯罪分子)，高資產客戶或中小企業主 是看是不是法人戶及投資一定金額以上的人~給參,推,謝謝回答 我以為是純粹從資產大小來區分
回覆,meimeilian,2021/11/22 21:18,[新聞] 市場震盪加劇 定期定額投資基金年增4成,推,鉅亨真是有心了，還分析了不同客群的投資偏好，個人屬於金融從業人員，確實如鉅亨分析~有準~
回覆,shoppinglin,2021/11/25 09:30,[新聞] 市場震盪加劇 定期定額投資基金年增4成,推,世芯KY直接跌停 安聯三雄可以準備加碼了
主文,NYYLG (欲戴王冠 必承其重),2021/11/21 23:04,[問題] 0050和0056大家覺得要單筆買進或定期定額,無,"本身是新手

想先從這兩筆穩健的ETF下手

大家較推薦哪種方式啊

定期定額還是單筆買進

另外大家覺得00850如何

適合新手嗎

謝謝

"
回覆,how90825,2021/11/21 23:19,[問題] 0050和0056大家覺得要單筆買進或定期定額,推,錢多分批 錢少一次進
回覆,Vanvan,2021/11/21 23:34,[問題] 0050和0056大家覺得要單筆買進或定期定額,無,請問0050 定期定額要找誰？ 2年前去元大證券開戶，當時有問 但理專沒有明確回答這個問題。想請教有經驗的版友，謝謝
回覆,Radiomir,2021/11/21 23:34,請問0050 定期定額要找誰？ 2年前去元大證券開戶，當時有問 但理專沒有明確回答這個問題。想請教有經驗的版友，謝謝,推,"台股基金好過台股ETF很多, 海外才是ETF好過海外基金~沒把握可以先定期定額, 等遇到較大的回檔時再下單筆."
回覆,TaiWeiT,2021/11/22 00:36,[問題] 0050和0056大家覺得要單筆買進或定期定額,推,0050/006208ETF股票型基金比較好。基金手續費比較高
回覆,dbdudsorj,2021/11/22 01:29,[問題] 0050和0056大家覺得要單筆買進或定期定額,推,0050定期定額 永豐金證券 豐存股啊
回覆,liaosatomi,2021/11/23 19:48,[問題] 0050和0056大家覺得要單筆買進或定期定額,無,我是006208開富邦0050的話國泰、大戶投都有這功能
回覆,ntoufatman,2021/11/23 19:48,我是006208開富邦0050的話國泰、大戶投都有這功能,推,都做  都買  都適合
回覆,wichalin,2021/11/24 17:20,[問題] 0050和0056大家覺得要單筆買進或定期定額,推,富邦開戶定期定額14000以內都是手續費1元
回覆,Vanvan,2021/11/25 21:45,[問題] 0050和0056大家覺得要單筆買進或定期定額,推,謝謝db大和liao大解惑，國泰我有帳戶，休年假時去問問
回覆,JosephChen,2021/11/26 09:28,[問題] 0050和0056大家覺得要單筆買進或定期定額,推,國泰定期定額一萬元以下1元，一個月扣三次一萬也是1元
主文,uyulala (Neverending),2021/11/21 21:20,[閒聊] 今年以來國內外基金表現,無,"資料來源

https://www.moneydj.com/funddj/ys/YP600.djhtm
https://fund.cnyes.com/search/?forSale=1
https://www.moneydj.com/etf/eb/ET305001list.djhtm?R=100&CC=f30&order=3



國內外基金今年以來表現最佳－台幣美元計價
https://i.imgur.com/JM6xq7Z.jpg


國外基金今年以來表現最佳－美元計價
https://i.imgur.com/sKBgEsx.jpg


國內外基金今年以來表現最差－台幣美元計價
https://i.imgur.com/aVXbDhK.jpg


台灣ETF今年以來表現最佳
https://i.imgur.com/LOWcjg7.jpg

"
回覆,popolili,2021/11/21 23:17,[閒聊] 今年以來國內外基金表現,推,推～
主文,askaskaskask (問問問問問問問題),2021/11/19 22:49,[問題] 基富通一般寄件開戶詢問,無,"各位版友好 :

  目前辦理基富通開戶，因扣款帳戶為中信，無法使用線上開戶，所以改以

一般寄件開戶，但其中一份文件基金扣款轉帳授權書，下方有個欄位寫，

""本欄由扣款銀行核章無誤後簽章""，今天拿去中信台南分行辦理，他們說

要總公司才有章? 請問這個是正確的嗎? 所以我要先寄去中信總公司蓋完，

再寄給基富通? 感謝

"
回覆,Klauhal,2021/11/19 22:49,[問題] 基富通一般寄件開戶詢問,無,應該是基富通找銀行核章吧不然上班時間電話問客服確認
回覆,ak472222,2021/11/19 23:33,[問題] 基富通一般寄件開戶詢問,無,給基富通啦
回覆,Electroche,2021/11/19 23:37,[問題] 基富通一般寄件開戶詢問,無,你只要填寫姓名/身分證字號 扣款銀行/分行/帳號勾選帳戶幣別 蓋扣款帳戶留存印鑑 然後寄給基富通即可完全不需要跑銀行辦理
回覆,askaskaskask,2021/11/19 23:37,你只要填寫姓名/身分證字號 扣款銀行/分行/帳號勾選帳戶幣別 蓋扣款帳戶留存印鑑 然後寄給基富通即可完全不需要跑銀行辦理,無,收到了 原來如此 謝謝各位版友解惑
回覆,blackorblue,2021/11/19 23:49,[問題] 基富通一般寄件開戶詢問,無,基富通確認基本資料無誤會再打給你 告知你他們準備送去銀行核章 所以你應該是不用填這欄
回覆,uyulala,2021/11/20 00:00,[問題] 基富通一般寄件開戶詢問,無,中信是集保九家裡美元匯差最不好的，如果只扣台幣就沒差
回覆,JosephChen,2021/11/20 10:14,[問題] 基富通一般寄件開戶詢問,無,才想說為什麼基富通開戶需要跑銀行...
回覆,blackorblue,2021/11/20 12:47,[問題] 基富通一般寄件開戶詢問,無,u大有建議在哪一間銀行長期的換匯最好嗎
回覆,Radiomir,2021/11/20 12:47,u大有建議在哪一間銀行長期的換匯最好嗎,無,"不是常進出, 匯差4分才0.14%, 也就是投資1x年差0.14%~"
回覆,uyulala,2021/11/20 12:59,[問題] 基富通一般寄件開戶詢問,無,"我之前有比較過集保九家,美元換匯最好的是彰銀數位帳戶我自己用的是台新Richart,那篇比較有轉來本板"
回覆,askaskaskask,2021/11/20 12:59,"我之前有比較過集保九家,美元換匯最好的是彰銀數位帳戶我自己用的是台新Richart,那篇比較有轉來本板",無,感謝各位喔
主文,aq10203040 (いろはにほへと),2021/11/19 18:36,Fw: [問題] 渣打網銀無法購買基金求解,無,"※ [本文轉錄自 Bank_Service 看板 #1XboST1Y ]

作者: aq10203040 (いろはにほへと) 看板: Bank_Service
標題: [問題] 渣打網銀無法購買基金求解
時間: Fri Nov 19 12:24:58 2021

各位好

最近想從渣打網銀買基金

但選任何一個基金都沒辦法申購(富蘭克林、JPM、群益等)都無法

會出現
VALIDATE_PARAMS_ERROR:很抱歉，目前無法處理您的交易，請稍後再試，或洽24小時客戶
服務專線 02-4058-0088

確認投資適合度有做

後來打客服詢問他說我可能點到外幣的(帳戶只有台幣有錢)

叫我買台幣的基金或換外幣再買剛好那時下午四點多想說隔天再換

結果隔天換完還是出現一樣的問題

想請教各位大大有什麼解嗎

THX

"
回覆,willieliu,2021/11/19 13:23,Fw: [問題] 渣打網銀無法購買基金求解,無,有啊 打他告訴你的那支電話
回覆,slchao,2021/11/19 13:23,有啊 打他告訴你的那支電話,推,和銀行買基金，感覺不划算
回覆,yuenru,2021/11/19 14:14,Fw: [問題] 渣打網銀無法購買基金求解,推,再打客服再問，或去分行直接操作。
回覆,dowbane,2021/11/19 17:12,Fw: [問題] 渣打網銀無法購買基金求解,推,這錯誤訊息比較像BUG耶
回覆,pupuliao,2021/11/20 00:46,Fw: [問題] 渣打網銀無法購買基金求解,推,來這裡問 大家會要你不要跟銀行買
回覆,yuenru,2021/11/22 00:15,Fw: [問題] 渣打網銀無法購買基金求解,推,不要跟銀行買。
主文,weej (叮噹虎),2021/11/19 10:30,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,"親愛的大家

被不曉得20多年前大家的父母或自己有沒有購買原蘇黎世媽祖基金（後更名為台壽保阿波
羅）
因為投信合併的關係，現在在鋒裕匯理阿波羅基金的境內基金

如果沒有移轉到基富通
可以跟我聯絡嗎？

20多年前的資訊實在很難尋找諸位客戶啊！

"
回覆,alex1973,2021/11/19 10:30,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,只有我看不懂這是誰想找誰嗎 ?
回覆,uyulala,2021/11/19 11:12,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,看不懂到底在寫什麼
回覆,JosephChen,2021/11/19 13:54,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,訊息量大 原PO鋒裕匯理 基金變孤兒 孤兒可能去基富通
回覆,shoppinglin,2021/11/19 13:54,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,中文不太行啊老大
回覆,weej,2021/11/19 13:54,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,抱歉抱歉...是想找還持有阿波羅基金的投資人謝謝J大的解釋
回覆,gtomina8810,2021/11/19 13:54,抱歉抱歉...是想找還持有阿波羅基金的投資人謝謝J大的解釋,無,是要找媽祖還是找阿波羅 兩個你都要先做仙才能找喔
回覆,cawai0328,2021/11/23 11:54,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,台灣的基金真是會取名字...媽祖跟阿波羅，神仙基金??
回覆,isco,2021/11/23 11:54,台灣的基金真是會取名字...媽祖跟阿波羅，神仙基金??,無,有找天公或耶穌的嗎？
回覆,windalso,2021/12/5 21:31,[問題]  持有蘇黎世媽祖或台壽保阿波羅基金者,無,蘇黎世媽祖變台壽保阿波羅再變鋒裕匯理阿波羅？
主文,yuenru (do your job),2021/11/21 18:15,[費用] 鉅亨定期,無,"一筆定期0手續費，

可以設定15個扣款日用這筆優惠手續費嗎？

或是一筆定期，

設定1個扣款日，

再手動更改扣款日，

仍屬於同一筆訂單？

謝謝。

"
回覆,jyting,2021/11/18 12:19,[費用] 鉅亨定期,推,正常是一個日期，可以改扣款日，但你這樣好像有點鑽漏洞哈哈哈  FB問問小編
回覆,bluezero000,2021/11/18 13:21,[費用] 鉅亨定期,推,現在不是10年定期0...要這麼累嗎
回覆,shoppinglin,2021/11/18 13:36,[費用] 鉅亨定期,無,就是偷偷當月加碼免手續費 你好聰明兩點前設定隔天扣款 試試看
回覆,yuenru,2021/11/18 13:36,就是偷偷當月加碼免手續費 你好聰明兩點前設定隔天扣款 試試看,推,就是不在十全十美裡面呀。。
回覆,jyting,2021/11/18 16:32,[費用] 鉅亨定期,推,是說我曾經在手續費一折的時候設定過一個月扣款20次，但發現基金一多有點難管理，要改金額改加碼條件設定半天，而且分這麼多期績效沒有比較好，後來把總金額除二分兩次扣。
回覆,Radiomir,2021/11/18 18:52,[費用] 鉅亨定期,推,"其實同類型買2~3支, 再設置不同扣款日, 較能分散風險~頂多是想加倍扣款時, 那幾天辛苦一點手動更改日期金額"
回覆,iamkorean,2021/11/19 09:03,[費用] 鉅亨定期,推,可以改扣款日，我有在改，優惠不受影響
回覆,meimeilian,2021/11/19 18:09,[費用] 鉅亨定期,推,之前有跟鉅亨確認，一張定期終身0優惠卷適用一檔基金一個扣款日期，只要契約不停扣，終身扣款0手續費，期間可變更金額、日期、買回都不影響優惠喔！
回覆,popolili,2021/11/19 21:58,[費用] 鉅亨定期,推,謝謝M大
回覆,Vessel,2021/11/20 12:08,[費用] 鉅亨定期,推,鉅亨終身0只有一支 十全十美好像只能十年內異動
回覆,cruisewu2003,2021/11/21 14:18,[費用] 鉅亨定期,推,鉅亨可也換日期 扣不到款也不會取消優惠 目前是最好用的基金平台
主文,fish0220 (),2021/11/18 11:20,[問題] 在基金平台上買基金vs跟投信買基金,無,"版上除了推薦跟三大基金平台買基金之外

會推薦直接跟基金公司買基金嗎?
朋友買安聯台灣科技，但他是直接在安聯的平台上面買

版上提到的基富通、鉅亨和中租好像優惠很多
跟投信買除了他們家的基金都免申購手續費外，還有甚麼優勢嗎?

"
回覆,cruisewu2003,2021/11/18 11:33,[問題] 在基金平台上買基金vs跟投信買基金,推,目前覺得差別不大基金平台更好管理
回覆,stuj9019,2021/11/18 11:38,[問題] 在基金平台上買基金vs跟投信買基金,無,跟投信買就是只能買他們家的 基金平台就一堆給你選 主要差別就這
回覆,yuenru,2021/11/18 11:38,[問題] 在基金平台上買基金vs跟投信買基金,無,除非只買安聯一家。就用投信買就ok。想買其他家，一家一家開也行，但多數人還是在平台上就可以有眾多選擇。早在中租還不叫中租時，叫先鋒，那時候我就開戶，買了較冷門基金。被富邦理專說：不怕倒了嗎？
回覆,tequila2,2021/11/18 11:38,除非只買安聯一家。就用投信買就ok。想買其他家，一家一家開也行，但多數人還是在平台上就可以有眾多選擇。早在中租還不叫中租時，叫先鋒，那時候我就開戶，買了較冷門基金。被富邦理專說：不怕倒了嗎？,推,跟投信買偶有零手續費券，目前我在安聯跟富蘭克林的基金都沒手續費
回覆,pupuliao,2021/11/18 14:19,[問題] 在基金平台上買基金vs跟投信買基金,推,有些超低經理費 的基金 是投信自己專賣 不會在其他平台上架
回覆,uniqlo5566,2021/11/18 15:08,[問題] 在基金平台上買基金vs跟投信買基金,推,安聯平台另外一個好處，可以下到比較晚
回覆,popolili,2021/11/18 20:19,[問題] 在基金平台上買基金vs跟投信買基金,推,感謝提問與解答的大家！我也在查詢這類訊息，不過目前會開可能就為了買到法人級別的基金了
回覆,mevellous,2021/11/18 22:09,[問題] 在基金平台上買基金vs跟投信買基金,推,我第一支是在國泰買的 生日首購免手續費0.0
回覆,anmychen,2021/11/19 12:11,[問題] 在基金平台上買基金vs跟投信買基金,推,有些投信會有母子基金機制，看你會不會需要用到，主要看需求啦，不然基富通本身也是不收轉換手續費的
回覆,blackorblue,2021/11/19 13:49,[問題] 在基金平台上買基金vs跟投信買基金,無,母子基金是趨勢 畢竟可以設定機制自動快速轉換 不過如果不習慣單押某家投信的話當然平臺買一買就好
回覆,meimeilian,2021/11/19 13:49,母子基金是趨勢 畢竟可以設定機制自動快速轉換 不過如果不習慣單押某家投信的話當然平臺買一買就好,推,目前基金主要在鉅亨做，統一管理很便利，手續費也優惠，客服服務也最優。
回覆,qazmomo0314,2021/11/22 12:59,[問題] 在基金平台上買基金vs跟投信買基金,推,投信就只能買他們家的產品呀，不像基富通這樣的基金平台可以買多家的基金產品
回覆,fishmiu1226,2021/11/23 23:11,[問題] 在基金平台上買基金vs跟投信買基金,推,我除了鉅亨外還有開富蘭克林的帳戶，以富蘭克林來說我目前發現的優勢有三個1.定期定額終身免手續費，停扣還是可以繼續享有2.定期定額單筆門檻很低只要1千3.美國註冊的超低費用基金只有他們的平台買得到
回覆,candyrain821,2021/11/24 12:32,[問題] 在基金平台上買基金vs跟投信買基金,推,請問樓上f大，1000是指台幣，對吧？
回覆,asdfwowyoman,2021/11/25 21:36,[問題] 在基金平台上買基金vs跟投信買基金,推,"回樓上沒錯 但印象中要在app下單,我自己是都在app下單"
回覆,candyrain821,2021/11/26 00:09,[問題] 在基金平台上買基金vs跟投信買基金,推,了解，謝謝
主文,sylee007 (),2021/11/16 12:20,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,"1.原文連結：https://udn.com/news/story/121591/5880753

2.內容：

好享退專案推兩年 基富通：基金規模近90億元

2021-11-10 16:06 聯合報 / 記者賴昭穎／台北即時報導

基金平台基富通兩年多前推出「好享退」專案在市場掀起一波退休準備風潮，為鼓勵民眾
持續以定期定額方式規畫退休理財，基富通總經理黃致淵表示，「好享退」投資人在投資
期滿兩年後再投資兩年，期間不贖回、不停扣，未來在基富通平台申購股票、平衡、債券
等商品可享終身0手續費優惠。

基富通統計，「好享退-全民退休自主投資實驗專案」推出正式兩年期滿，讓更多民眾重
視到退休準備重要性。當初參與的4.1萬人兩年後仍有88%的留存率，每月扣款金額3.25億
元僅比當初減少7%，持續投資的民眾平均扣款金額甚至比初期還增加，凸顯對此專案的高
度認同，也顯示在定期定額、紀律投資基金為自己準備退休金的持續推廣下，確實獲得不
錯的成效，也讓每位持續扣款的參加人累積一筆不小的資金。

基富通董事長林修銘表示，將這個專案實驗期間訂為兩年，主要是考量讓投資人養成紀律
投資的習慣，尤其退休準備是長期的事，若民眾能夠過這個專案完成兩年持續扣款不中斷
（不贖回也不終止扣款），就可以享有0手續費、低經理費的優惠，且兩年期滿持續投資
也能繼續享有這樣的優惠。

林修銘指出，很多民眾都是親身投入之後，才知道定期定額紀律投資的好處，值得一提的
是，持續扣款的投資人，平均每人、每筆投資金額不增反減，若以每人平均每月扣款近
9000元來看，加上經歷兩年來市場波動，專案內九檔基金定期定額績效都還不錯，投資人
平均都累積了一筆不小的財富，若長期投資，到退休時確實對退休生活有不小的幫助。

基富通總經理黃致淵表示，統計到今年10月為止，好享退的基金規模（AUM）為88.9億元
，以類型來看積極型、穩健型、保守型和目標日期型規模分別為36.78億元、21.66億元、
4.76億元、25.72億元。為了讓投資人繼續維持投資的良好習慣，持續為自己的退休後所
需資金做準備，基富通更在「好享退」期滿之前推出加碼活動，若「好享退」投資人在投
資期滿兩年後，再投資兩年（期間不贖回、不停扣），累積扣款達48個月，就可以獲得基
富通VIP資格，未來在基富通平台不論單筆、定期定額申購股票、平衡、債券等數千檔基
金（特殊基金除外，以屆時基富通官網公布為準）可享有終身0手續費的優惠。

黃致淵認為，在高齡化的社會下，退休準備是長期的事，基富通也持續推動這樣的觀念，
因此在「好享退」截止申購後，今年基富通平台再推出進化版的「好好退休準備平台」，
不僅可投資的退休準備基金選擇性更多，還囊括保障型保險商品可做選擇，且這些基金若
連續投資兩年（期間不贖回、不停扣），也可拿到基富通VIP資格，節省未來投資基金的
成本，呼籲民眾盡早開始，盡早為自己退休做準備。

"
回覆,yuenru,2021/11/16 12:20,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,基的coupon少了點，還是會付到手續費，反觀，鉅亨好用多了。
回覆,shoppinglin,2021/11/16 13:48,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,所以目前就一檔好好退休 其他都暫時用鉅亨 哈
回覆,iamkorean,2021/11/16 14:45,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,現在兩家民營優惠狂勝
回覆,sonic37,2021/11/16 17:05,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,官方經理沒有規模壓力，只有宣傳壓力
回覆,iamkorean,2021/11/16 19:52,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,我覺得官方沒壓力，而且很有錢，舖天蓋地都是廣告，但是明明現在就沒優惠，有優惠的是鉅亨跟中租
回覆,moom50302,2021/11/16 19:52,我覺得官方沒壓力，而且很有錢，舖天蓋地都是廣告，但是明明現在就沒優惠，有優惠的是鉅亨跟中租,無,今年好息債系列單筆無手續費，又有好好退，哪沒活動？
回覆,iamkorean,2021/11/16 23:43,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,應該說相對下來基富通確實比較沒活動啊！配息三家單筆都不用手續費，鉅亨跟中租定期定額的優惠都是現在就開始，但基富通要先被綁2年，所以比較下來基富通真的比較沒活動。他的優勢就在於他是半官方，不過鉅亨也算富可敵國，即時是民營，用的人也多，中租背後也是富爸爸
回覆,popolili,2021/11/17 00:02,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,消費者有越多選擇也不錯呀！
回覆,eno4022,2021/11/17 00:02,消費者有越多選擇也不錯呀！,無,國家是為了養成你長期儲蓄的習慣綁2年就是他的目的，不要本末倒置了
回覆,iamkorean,2021/11/17 09:06,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,我們應該是就優惠來討論吧？而事實就是”現在”另外二家給的優惠就是比較好啊，而且如果是強調要養成儲蓄習慣，另外二家給的也是終身跟10年，也是鼓勵儲蓄吧，更是鼓勵‘‘現在就超過1000檔0手續費’’開始耶
回覆,RS44,2021/11/17 10:03,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,基富通和鉅亨我都有開 個人偏好鉅亨
回覆,qazmomo0314,2021/11/17 11:17,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,好好退休的用意本來就是推廣退休理財，所以才要綁兩年，和端出低經理費這樣的肉。優惠也要搭配需求，需要甚麼就用甚麼優惠，不同的需求不能比擬
回覆,mezz690323,2021/11/17 17:47,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,好好退休就是大優惠了啊...以前市場上沒有像好享退這樣的方案可以參加吧...
回覆,mark08220415,2021/11/17 17:47,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,還是覺得鉅亨的優惠完勝基富通，比較好用，最近推薦了好幾個朋友在鉅亨開戶
回覆,eno4022,2021/11/17 17:47,還是覺得鉅亨的優惠完勝基富通，比較好用，最近推薦了好幾個朋友在鉅亨開戶,無,那趕快滾去鉅亨跟中租吧快樂進進出出最開心
回覆,kuokuokuo915,2021/11/18 12:10,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,樓上供三小 用鉅亨還是能待兩年啊為了不要賣而主動要求別人綁自己兩年，這種要求我真沒聽過
回覆,b954945,2021/11/18 15:11,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,基富通也沒綁阿 你隨時可賣
回覆,StarYao,2021/11/21 15:35,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,基富通綁[email protected]很方便，淨值出來也比鉅亨快
回覆,iamkorean,2021/11/22 12:24,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,"我是比較偏好用APP, 雖然要另外下載有點麻煩，用line的話雖然方便，但我很擔心資料不知道這樣子我的資料是不是同時會被line使用…… 我還剩三幾十萬的部位在基富通，很怕line使用我的個資"
回覆,candyrain821,2021/11/22 16:51,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,平台多多益善。金額大時選基富通，因為它之前活動有送不少單筆免手續費，好好退休兩年後一律免手續費很讚啊！金額比較小時用鉅亨，扣點數抵手續費。
回覆,yuenru,2021/11/24 09:48,[新聞] 好享退專案推兩年 基富通：基金規模近90,無,line各家銀行大推綁定個人資料，要被駭也不會只駭基富通。
主文,uyulala (Neverending),2021/11/16 11:53,[費用] 中租定期定額終身０手續費活動,無,"通路公司：中租投顧

是否限時：～2021年12月31日13:29

費用明細：全平台基金定期定額終身０手續費

活動網址：https://www.ezfunds.com.tw/Article/Content/7182?after=True


好久沒下單，今天申購時發現中租這個活動，

提供給有需要的人參考。

請詳閱活動辦法。

"
回覆,jkinkin,2021/11/16 22:52,[費用] 中租定期定額終身０手續費活動,無,謝謝分享
回覆,popolili,2021/11/16 22:52,[費用] 中租定期定額終身０手續費活動,無,遭，還沒開中租
回覆,uyulala,2021/11/16 22:52,遭，還沒開中租,推,"所以建議開一家不如開三家,反正要填的資料都一樣"
回覆,keykeydk0610,2021/11/17 07:36,[費用] 中租定期定額終身０手續費活動,推,U大就是讚...
主文,dodoro122 (多多秕多),2021/11/20 21:33,[問題] 我適合買基金嗎？,無,"想請教一下各位前輩，小的先前都是不會規劃投資理財的小資族，看身邊有朋友從大學開
始做定期定額買基金、股票，雖然獲利不不像航海王那種可怕的倍數，不過幾年下來好像
有超過80%投資報酬，感覺定期定額投資比較偏向保守懶人的投資方法？

因為我自己是屬於平日無法盯盤的類型，且對股市不熟悉，每次原本看好的族群因為一直
沒有下手投資都漲到天邊了也不敢買了，又很怕我一買就開始跌….

最近看好電動車半導體等等科技產業，雖然電動車炒一陣子了，但我還是覺得勢必是未來
趨勢，不過電動車題材的標的真的很多很怕就只有我買到的不漲….

可以詢問一下像是想做這方面投資的小資族適合怎樣的投資方式標的嗎？

看了好多家投信基金、銀行基金什麼的有點眼花撩亂…
雖然有多少爬一些文不過實際要拿錢去投資還是有點怕怕的
（我每個月大概抓定期定額存五千、風險承受度小希望是保守一點的投資，單純想要開始
自己的投資規劃）
再麻煩版上大大們指教了

"
回覆,bluezero000,2021/11/15 17:35,[問題] 我適合買基金嗎？,推,真的保守就買大盤型etf，主動型基金很吃經理人操作先做研究吧，股票也不是不能玩，all in 中華電，一年也是有3.5%股價也不會動
回覆,uyulala,2021/11/15 17:52,[問題] 我適合買基金嗎？,推,定存等股災真心不騙
回覆,shoppinglin,2021/11/15 17:54,[問題] 我適合買基金嗎？,推,先申請個richart跟大戶至少把握住活存利息。兩大基金平台也都先開戶，先在好好退休買一支全球股票基金每月3000，然後在richart買安聯不用信託管理費，看要收益成長還是人工AI，定期定額每筆台幣100 一個月拆成20天買入。台新單筆100內不用手續費，好像只有安聯沒信託管理費，這個拆成多天也能滿足偶爾買入不同價格的感覺。剩下就覺得會連續大跌時，每天看跌就用兩大平台單筆進去。
回覆,mengpo,2021/11/15 18:06,[問題] 我適合買基金嗎？,推,好好退休選一隻全球型股票基金，一隻平衡型，放兩年，遇到股災加碼投入
回覆,Electroche,2021/11/15 19:08,[問題] 我適合買基金嗎？,推,推樓上 買好好退休+1 實際花錢你投資就會好好研究兩年也夠你研究了 坐滿兩年牢 擁有全平台無痛申購權到時候看市況逢低加碼
回覆,s12e43w,2021/11/15 19:26,[問題] 我適合買基金嗎？,推,建議可以試試看基金或是ETF的部分？基金比ETF長期，如果是想要強迫自己做理財規劃我覺得可以買基金
回覆,sleepinggod,2021/11/15 20:44,[問題] 我適合買基金嗎？,推,台灣內線交易嚴重，選主動型基金比較賺績效看這一兩年就好，畢竟內線是靠人脈跟運氣
回覆,iamkorean,2021/11/15 22:21,[問題] 我適合買基金嗎？,推,可以參考鉅亨定期定額龍虎榜，都是有績效的基金，還有0手續費https://blog.anuefund.com/update_1010rsp_performance/如果還是擔心，那麼也可以從0050和0056 etf開始，價格太高可以從兩隻的連結基金開始入手喔！
回覆,shuiwuhen,2021/11/16 00:19,[問題] 我適合買基金嗎？,推,好好退休2049買下去綁兩年試水溫順便拿VIP
回覆,makuso,2021/11/16 02:42,[問題] 我適合買基金嗎？,無,我之前是看財經節目推薦長遠的趨勢一定跟科技有關的，像生技那些短期振幅太大了我放棄，上個月開始做點功課之後是買富蘭克林AI新科技基金
回覆,ntoufatman,2021/11/16 02:42,我之前是看財經節目推薦長遠的趨勢一定跟科技有關的，像生技那些短期振幅太大了我放棄，上個月開始做點功課之後是買富蘭克林AI新科技基金,推,適合
回覆,tzushen,2021/11/16 09:13,[問題] 我適合買基金嗎？,推,人人都適合，就看怎麼挑而已
回覆,kevinklaus,2021/11/16 10:04,[問題] 我適合買基金嗎？,推,我推野村優質、安聯台灣大壩、安聯台灣智慧、安聯台灣科技、統一奔騰、統一黑馬
回覆,uyulala,2021/11/16 12:01,[問題] 我適合買基金嗎？,推,定存等股災：先定存等標的跌30%甚至更多時再低點進場 因為通常新手會想進場的時候大概都相對高點 但是如果你對資產配置有很好的規劃，那就按你自己的計劃當然相對高點不代表不會繼續高，總之就是要多方考量不要讓投資影響到你正常的生活
回覆,sylee007,2021/11/16 12:29,[問題] 我適合買基金嗎？,推,新手建議可以從買好好退休全球型的開始，畢竟費用低算新手友善，定期定額養成投資好習慣，兩年後你還有終身優惠
回覆,max220,2021/11/16 14:38,[問題] 我適合買基金嗎？,推,推2049...買才一個月已經5%績效了
回覆,yisky,2021/11/16 15:07,[問題] 我適合買基金嗎？,推,先有信心才抱的住，0050你把他當成單一市場來看比較好（像越南etf這種），這兩年一堆人在吹0050好像無風險的風氣很奇怪。
回覆,blacktea01,2021/11/16 15:58,[問題] 我適合買基金嗎？,推,已經有Richart的話可以試試看上面的理財機器人，先從小額的投入試試水溫啊
回覆,j49222106,2021/11/16 17:22,[問題] 我適合買基金嗎？,推,樓上建議不錯
回覆,shoppinglin,2021/11/16 18:09,[問題] 我適合買基金嗎？,推,是定存等股災不是股災的時候定存喔 哈 但除非錢太多不然大戶加狗80萬額度也許夠你用了
回覆,Ginru,2021/11/17 08:31,[問題] 我適合買基金嗎？,推,不懂股市真的不要隨便進場 我自己當初也是從基金定期定額開始投資
回覆,sp3573,2021/11/17 23:17,[問題] 我適合買基金嗎？,推,之前看理財達人秀好像滿常推薦富蘭克林旗下的基金的 我是覺得他們這檔節目算是有細心篩選過的應該還可以
回覆,edwina320,2021/11/18 01:48,[問題] 我適合買基金嗎？,推,我個人是扣安聯台灣科技、大壩、智慧、野村，也有股票投資部位。雖然基金沒辦法馬上呈現短期獲利，但選對標的，定期定額分散風險真的可以提高獲利機率。之前新手
