主文/留言,作者,時間,標題,內容
留言,國立聯合大學,2021/10/30 07:44,想問有人也參加好好退休嗎?,B9 滿24期全部都不用手續費吧
留言,國立中央大學,2021/10/30 09:10,想問有人也參加好好退休嗎?,我記得不會收手續費但還是會收其他內扣費用，建議去政府建置的基金資料庫查歷年最準。
留言,國立中興大學,2021/10/30 09:20,想問有人也參加好好退休嗎?,一般共同基金的管理費，都是在1~2%，所以這個方案壓在1%以內是真的很不錯
留言,Harumi,2021/10/30 09:21,想問有人也參加好好退休嗎?,蠻推薦新手參加好好退休的，因為基金已經幫妳篩過了，至少不用大海撈針，好好挑一下都可以挑到不錯的 之前無腦好享退，兩年績效下來都可以快20%
留言,臺灣警察專科學校,2021/10/30 19:02,想問有人也參加好好退休嗎?,B13 她的意思是要先買好好退休專案的那些基金24個月啦  之後滿了就是全部平台免手續費
留言,國立東華大學,2021/10/31 06:52,想問有人也參加好好退休嗎?,基富通基本是半公股性質，不需要擔心太多~~~
留言,國立勤益科技大學,2021/10/31 12:59,想問有人也參加好好退休嗎?,默默扣兩年你會感謝自己
留言,國立成功大學,2021/11/1 12:00,想問有人也參加好好退休嗎?,在Richart上面的基金標的其實蠻少的，基富通或是鉅亨的基金選擇優惠很多，而且都不會花到妳甚麼手續費(常常有優惠~
留言,國立成功大學,2021/11/1 12:01,想問有人也參加好好退休嗎?,這方案可參加，一個月定期定額最低三千而已，加上終身優惠不虧
留言,原Po,2021/11/1 12:12,想問有人也參加好好退休嗎?,感謝大家回應~ 看下來感覺還不錯，大家都這樣講，我安心很多，我再來研究一下這專案的標的看看！
留言,Adam,2021/11/2 15:44,想問有人也參加好好退休嗎?,"還是要看標的選擇吧
我自己是都買摩根士丹利美國增長基金
沒有在裡面"
留言,法號夢遺大師,2021/11/4 17:31,想問有人也參加好好退休嗎?,"B24
剛開始買 你跟我一樣標的嗎？"
留言,公職巨蟹座,2021/11/13 03:30,想問有人也參加好好退休嗎?,基富通與鉅亨網都有購買，基富通參加過好享退，績效還可以，建議若要買投資報酬率高一點的基金，去鉅亨網申購，鉅亨網基本上多數基金都已經免手續費了，可以挑選的基金比基富通多。
主文,匿名,2021/10/25 11:25,定期定額，如何挑選基金？,"工作了幾年，省吃儉用下存了點積蓄，現在想每月提撥約15%的薪水定期定額投入基金
網路上看了很多分享與教學，除了以拉績效為主，另外基金還有以投資標的(股票型、平衡型、債券型)為區分，目前是以股票型基金為投資目標
接下來就要挑選基金的投資主題，做了些功課統計出未來科技產業趨勢大致分為:半導體、物聯網、ＡＩ人工智慧、生技醫療、電動車等，另外因為不同基金也有不同幣別的計價方式，因此若非台幣計價也須將匯差考量進去，以下為挑選出的基金與個人觀點：
1. 貝萊德世界科技基金A2: 僅提供美金計價/ 主要投資地區:美國/ 投資策略為主要從事科技行業的公司的股權證券
->吸引人的地方：這檔基金好處是成立許久(1995/03/03),且長期績效也很不錯
->有疑慮的地方：個人覺得整體投資策略相較範圍太過大，不確定此檔基金能否在產業科技爆發成長期吃到甜蜜的獲利
2.富蘭克林華美 AI 新科技基金: 提供台幣與美金計價/ 主要投資地區:美國與亞洲/投資策略聚焦半導體、智慧交通與衛星
->吸引人的地方：這檔基金剛成立不久(2020/12/03)，個人認為計價部分有提供台幣能讓基金團隊幫您避險匯差，另外投資策略聚焦的範圍為全世界致力發展的產業，並且這些產業都處於初創與成長爆發期，因此很有機會能夠創造不錯的報酬
->有疑慮的地方：如上面所述這檔基金創立不久，沒有足夠的歷史數據做出報酬比較，目前會列入觀察名單，有卡友已經投入了嗎？可否分享看法？
3.摩根亞洲增長基金: 僅提供美元計價/ 主要投資地區:亞洲/ 投資於受惠於亞洲經濟體系的增長或與其有關的公司證券
->吸引人的地方：亞洲新興市場的未來發展，雖現在受到疫情影響，但是待疫情過後，新興國家持續發展下將會有中產階級崛起帶動金融、消費、建設、科技產業轉型與升級的投資機會，有很大的潛力基金能夠創造超額報酬
->有疑慮的地方：亞洲部分國家政治因素將牽動經濟發展表現成為不可控因素、匯率風險與發展速度可能不如預期的結果
以上是挑選出的基金分享，
想請問卡友對以上的基金有什麼看法或有已投入的投資人可以分享觀點
另外大家定期定額都投什麼樣的金融商品呢？"
留言,國立虎尾科技大學,2021/10/25 12:13,定期定額，如何挑選基金？,"好奇妳怎麼不直接買ETF
1跟3沒問題，2我看不懂，陽明長榮是…？
我自己是上個月直接單筆投入中信越南基金，但佔整體的資產部位不大，大概2%，看好未來越南能從邊境市場升格成新興市場"
留言,原Po,2021/10/25 14:35,定期定額，如何挑選基金？,"B1 
ETF我之前就有大概5%-10%持續有在投入，現在是把基金當作偏向主動選股的部位，富蘭克林這檔持有上述兩隻股票，我自己的看法是AI其實是一種技術可以運用到任何產業裡，主要訴求應該為降低企業成本或流程精簡化等，進而創造利益最大化幫助企業提升獲利
另外越南那檔之前有觀察過，以下分享我的看法，越南新興市場發展令人期待，只是後來研究好像越南股市上市股數並不多且市值大的多半好像是金融類股，比較不符合我的投資目標所以後來就先從我的名單剔除了～"
留言,國立臺北大學,2021/10/26 00:45,定期定額，如何挑選基金？,"B1
回答為何不買etf
自己投資比例幾乎都是基金
股票比較少
因為ETF分紅要繳稅
我税級距30%
再下去稅會變40%
投報率平均6%
再扣稅後就3.6%
另外你說了越南市場
我也很看好越南
但目前疫情
要放一陣子才會有結果"
留言,國立臺北大學,2021/10/26 00:46,定期定額，如何挑選基金？,"我個人沒買你提的那三隻
也沒買國外的基金
我都買台股或美債
復華中小和高收益
同個基金經理人
你參考看看"
留言,國立中興大學,2021/10/26 07:48,定期定額，如何挑選基金？,"只買第一個
其他買安聯
B4
美債跟高收益是買啥
中信的高收益嗎"
留言,國立彰化師範大學,2021/10/26 09:45,定期定額，如何挑選基金？,"這篇長短處分析很受用
現在大家都在說0050&0056，基金看似也是個不錯的選擇"
留言,國立臺北大學,2021/10/26 09:47,定期定額，如何挑選基金？,"B5
都復華的
最近中小出場
但定期定額還有"
留言,原Po,2021/10/26 11:20,定期定額，如何挑選基金？,"B6 
其實基金會挑的話能夠得到超越大盤的報酬，只不過建議每年去審視績效及該投資策略是否符合趨勢"
留言,阿漢,2021/10/26 11:53,定期定額，如何挑選基金？,"富蘭克林的這隻也在我的待選名單內
持續追蹤這檔的績效表現中"
留言,國立中興大學,2021/10/26 14:28,定期定額，如何挑選基金？,"B7
方便問中小、傳家、智能定投多久嗎
查了一下覺得智能的數據跟你的表現落差有點大XD
你的特別好哈哈哈
有投資越南！？"
留言,國立臺北大學,2021/10/26 16:13,定期定額，如何挑選基金？,"B7
智能是母子基金復合式的
你去搜yt有影片介紹
我去年本金500翻到1000
其他兩隻是我看台股大盤跌時進場
並非定期定額"
留言,靜宜大學,2021/10/27 07:55,定期定額，如何挑選基金？,"富蘭克林華美 AI 新科技基金，有提供台幣計價這點，可以先加分
我之前投基金只有美金計價的 定期定額匯差長期累積下來也是一筆不少的數目....."
留言,臺北市立大學,2021/10/27 09:46,定期定額，如何挑選基金？,"我會另外推薦摩根士丹利美國增長基金
可以研究一下這檔
過去幾年的績效表現一直都很不錯"
留言,自由海人,2021/10/27 14:54,定期定額，如何挑選基金？,00885 越南ETF 不錯
留言,國立屏東大學,2021/10/27 17:00,定期定額，如何挑選基金？,"我會額外推薦安聯臺灣大壩基金
可以研究一下是否符合你
自己跟男友本身也有定期定額買
績效表現至少都還算滿意"
留言,原Po,2021/10/29 02:35,定期定額，如何挑選基金？,"B13 
這檔我把他跟貝萊德世界科技比較過，兩者的持股策略差異蠻大，但績效表現算是都很好，後來不考慮摩根這檔的原因為淨值比貝萊德高出許多，若以同樣的本金下去配置貝萊德可能最後可以創造更多的獲利數目"
留言,中華醫事科技大學,2021/10/29 04:05,定期定額，如何挑選基金？,"基金擁護者在這
雖然也有買0050，不過主要還是都投資基金
其實會挑基金的確可以挑到報酬不錯也很穩定的"
留言,國立中興大學,2021/10/29 06:22,定期定額，如何挑選基金？,安聯三巨頭
留言,真理大學,2021/10/29 07:50,定期定額，如何挑選基金？,"半導體產業現在應該是爆發期吧
富蘭克林這檔相比其他檔的確比較聚焦成長的產業"
主文,Skynet,2021/10/20 01:06,重新出發,"因為前一陣子因疫情失業沒有收入結果存款現在剩下3萬元目前債務已還清
沒有任何負債
現在開始重新工作了
那我現在一個月薪水兩萬八
請問你們會怎麼規劃存款
我每月的生活開銷有12000要支出
剩餘的錢我該用定存嗎"
留言,正修科技大學,2021/10/20 01:49,重新出發,建議定存每月18000
留言,消波塊KKKK_ONNN,2021/10/20 01:57,重新出發,當然阿  每個月都要儲蓄
留言,Serena,2021/10/20 02:00,重新出發,"建議先存到至少6～12個月生活費當緊急備用金 （72,000~144,000）
可以選擇放在高利活存，利率最高有到2.6%
緊急備用金目標達成之後，再把剩下的錢拿去投資
建議你可以研究看看指數化投資（0050, 006208）
記得也要檢視一下保險是否足夠"
留言,原Po,2021/10/20 03:28,重新出發,B3請問一下證券戶開了之後沒有投資的話要不要付一些租金還是費用之類的管理費?
留言,國立中興大學,2021/10/20 08:38,重新出發,B4 免
留言,原Po,2021/10/20 10:25,重新出發,謝各位看來先存錢別亂投資好了
留言,臺灣警察專科學校,2021/10/20 12:55,重新出發,先有個50萬再說吧
留言,國立臺北教育大學,2021/10/21 03:20,重新出發,先定存讓現金流維持半年以上緊急預備金（不求利率高起碼不會損失，解約變現快），本金少但穩定，利率高低影響不大。之後再來思考投資。相信先求穩的你會越來越好。
留言,明新科技大學,2021/10/21 03:53,重新出發,"會規劃的話
不會用定存
沒錢的人用定存會先弄死自己
建議有錢在拿一部分配置用定存"
留言,walter泉,2021/10/23 05:09,重新出發,建議基復通或鉅亨網 這種免費的平台買基金 最少一個月單位3000 基富通現在也有活動可以跟上一下定扣兩年終身不用手續費
主文,國立臺灣大學,2021/10/19 04:21,#請益 請問違約交割還可以買基金嗎?,"那個...最近好像少年股神違約交割的違約率好像越來越高齁...
啊那個我同學就是那個當沖違約率的助力之一啦... 人生真的不需要冒這麼多風險，用信用去賭博啊啊啊
這邊幫我同學問一下，算幫他代po 所以他違約交割不能買股票了
那這樣他還可以買基金嗎??? 看在他還有心要向善，轉為保守一點的投資 請大家幫忙解惑一下了
他是真的認真想要定期定額基金 也不知道銀行那邊他能不能買，然後他也想問問信用崩崩的狀況下還是在基富通上面開戶嗎?
他還能不能參加好好退休的方案...@@ 如果可以參加，對他來說也好一些，畢竟參加這個感覺風險低一些，報酬也不差，應該也可以讓他養成定期定額的好習慣..."
留言,國立成功大學,2021/10/19 05:18,#請益 請問違約交割還可以買基金嗎?,當然不行啊 你以為違約交割沒那麼嚴重喔 乖乖去幹日結工好好存錢吧
留言,輔英科技大學,2021/10/19 06:31,#請益 請問違約交割還可以買基金嗎?,"違約交割好像連信用評分都會被影響
我覺得還是打電話確認一下比較保險"
留言,消波塊KKKK_ONNN,2021/10/19 07:48,#請益 請問違約交割還可以買基金嗎?,"當然不行==
一個沒信用的猴子誰敢賣商品給你
活該 誰叫他們要亂當沖 沖掉自己的信用"
留言,國立中興大學,2021/10/19 08:31,#請益 請問違約交割還可以買基金嗎?,笑死
留言,1337000,2021/10/19 09:44,#請益 請問違約交割還可以買基金嗎?,法盲
留言,高苑科技大學,2021/10/19 10:29,#請益 請問違約交割還可以買基金嗎?,建議以後違約交割，連同Dcard帳號一起鎖。
留言,國立臺北科技大學,2021/10/19 11:17,#請益 請問違約交割還可以買基金嗎?,直接去玩美股吧...
留言,國立中興大學,2021/10/19 11:19,#請益 請問違約交割還可以買基金嗎?,B9 妳覺得聯徵紀錄國外券商就看不到？
留言,國立臺灣大學,2021/10/19 11:24,#請益 請問違約交割還可以買基金嗎?,好慘⋯⋯那個因為3000違約的 是不是你朋友：）
留言,擁抱特斯拉,2021/10/19 12:38,#請益 請問違約交割還可以買基金嗎?,"B10你怎麼會覺得國外券商會看。。。
國外都是匯錢過去戶頭後才能進行買賣
而且聯徵又沒有跟國外合作，根本調不到好嗎"
留言,國立臺灣大學,2021/10/19 12:39,#請益 請問違約交割還可以買基金嗎?,參加好好退休讓他改掉愛賭博的陋習也是不錯
留言,國立虎尾科技大學,2021/10/19 13:06,#請益 請問違約交割還可以買基金嗎?,跟你朋友說 你還有美股跟加密貨幣可以翻身
留言,臺北城市科技大學,2021/10/19 13:54,#請益 請問違約交割還可以買基金嗎?,"推薦你朋友去Vegas
那邊很好翻身"
留言,羅格斯大學,2021/10/19 14:06,#請益 請問違約交割還可以買基金嗎?,"用信用下去玩真開心呢呵呵
沒那個屁股吃那個瀉藥"
留言,初星者,2021/10/19 14:31,#請益 請問違約交割還可以買基金嗎?,"正經說：
假如你是原本就有其他號子行的帳戶，
那違約交割的對證券交易影響，
主要是一年內都必須全額交割；
基金如何我不確定，
不過我想應該是分開的，
因為能買基金的前提是帳戶有錢扣，
不過有些RR等級高的可能買不了
(會認為風險承載能力低)。"
留言,國立政治大學,2021/10/19 14:35,#請益 請問違約交割還可以買基金嗎?,理財生活崩毀的第一步，違約交割
留言,國立中興大學,2021/10/19 15:38,#請益 請問違約交割還可以買基金嗎?,買基金確實是比買股票風險小一點，你朋友已經不能再承受更多信用違約的風險了 買基金餘額不足頂多當月扣款失敗，申購不到而已，也不會對個人信用有任何影響 只是你朋友如果參加好好退休中間停扣，優惠就沒了哦
留言,南臺科技大學,2021/10/19 16:14,#請益 請問違約交割還可以買基金嗎?,原來違約交割連dcard都不能辦了
留言,匿名,2021/10/19 16:29,#請益 請問違約交割還可以買基金嗎?,買美股啊，美股好操作的標的又比台股多太多了，想想看有十幾家2330
留言,國立臺北大學,2021/10/20 06:04,#請益 請問違約交割還可以買基金嗎?,台北這裡就算賠錢賣的也輪不到你們買
留言,國立中興大學,2021/10/20 09:35,#請益 請問違約交割還可以買基金嗎?,用好好退休打掉重練嗎?也是可以啦
留言,國立成功大學,2021/10/20 11:44,#請益 請問違約交割還可以買基金嗎?,恩...誰不是從錯誤中學習呢，希望你朋友可以開始認真好好學習投資
留言,國立成功大學,2021/10/20 11:44,#請益 請問違約交割還可以買基金嗎?,我看起來像客服嗎?直接打電話過去基富通問
留言,國立宜蘭大學,2021/10/20 15:05,#請益 請問違約交割還可以買基金嗎?,好像蠻符合這次唐鳳勸世不要當韭菜的主題，你朋友是活生生的例子耶
留言,國立宜蘭大學,2021/10/20 15:05,#請益 請問違約交割還可以買基金嗎?,好好退休的網站裡面有個教育專區，建議你朋友先研讀一遍 兩年後基富通全平台基金終身0手續費，感覺很厲害
留言,淡江大學,2021/10/21 01:36,#請益 請問違約交割還可以買基金嗎?,可憐這麼年輕就違約交割 叫你朋友自己上網查
留言,世新大學,2021/10/22 13:07,#請益 請問違約交割還可以買基金嗎?,這種投資玩到賠掉信用的，找人帶應該會好很多
留言,雨鞋👟,2021/10/22 14:57,#請益 請問違約交割還可以買基金嗎?,還可以買基金，只有一個帳戶會被凍結，用其他帳戶買基金應該還是可以的
留言,中國科技大學,2021/10/25 19:24,#請益 請問違約交割還可以買基金嗎?,怎麼看啊 我怎麼看不到違約交割的名單
留言,國立中興大學,2021/10/27 17:12,#請益 請問違約交割還可以買基金嗎?,活該
主文,小烏鴉Lil Crow,2021/10/18 02:26,#新聞 Tribe Capital 將推出 7500 萬美元的加密貨幣基金,"新聞：TRIBE CAPITAL 將推出 7500 萬美元的加密貨幣基金
【重點摘要】
熟悉該計劃的消息人士告訴 CoinDesk，Tribe Capital 是一家投資於 Kraken 和 FTX 等加密貨幣領域的風險投資公司，該公司正在推出 7500 萬美元的加密基金。
據消息人士透露，該基金最初尋求籌集 5000 萬美元，但因為投資者的強烈興趣而多籌集了資金。
總部位於舊金山的 Tribe Capital 的基金將嚴格專注於加密行業，在早期項目、SAFT(未來代幣的簡單協議，一種開發人員用來與投資者合作的投資協議)、收益農業、國債中持有多頭頭寸購買和挖礦。該基金將把 75% 的投資用於美國項目，25% 用於國際項目。
消息人士稱，Tribe Capital對區塊鏈領域有著濃厚的興趣，將其約 20% 的資產投資於加密貨幣項目。其投資組合包括對 CoinDesk 母公司 Digital Currency Group 的投資。
上個月，該公司參與了 Floating Point Group 的1000 萬美元 A輪融資，該公司為機構投資者提供託管和算法交易服務。Tribe Capital 的聯合創始人Arjun Sethi和該公司的合夥人 Jared Madfes 將管理加密基金。
【小烏鴉的想法】
自從10/16早上SEC宣布BTC期貨ETF通過之後，就不少企業開始蠢蠢欲動準備遞件申請，畢竟只要有第一家完成審核之後，後面幾家的申請案因為有了參考的依據，在文件準備和審查上面，會更加順暢。
而這次Tribe Capital 預計推出的加密貨幣基金，其實很合理，就像新聞中提到的，由於投資者的需求很強，讓那些為了加入加密貨幣市場這一塊藍海的機構，不得不推出相關的衍生性產品，這樣的舉動，也讓更多人注意到這個市場，並且有機會增加市場資金流動性。
最近加密貨幣市場各項利多，無論是加密貨幣投資者還是關心區塊鏈技術應用的人，都很開心，市場資金增加了，一方面可以帶動幣價往上之外，項目方可以有更多的資金去規劃和更新相關的應用；我是真的還蠻期待未來各個區塊鏈項目可以有更多元的發展和應用推出，讓這將市場更加熱鬧。
【延伸閱讀】
SEC表示將允許首個比特幣期貨ETF在美國交易
區塊鏈分析公司 Elliptic獲得6,000萬美元融資
SEC正式批准Volt Equity申請的加密股票ETF
希望我的分享，對各位有幫助，如果你喜歡我的文章，可以追蹤我，我會定期更新兩天區塊鏈新聞。
如果有興趣一起討論的人，也歡迎加入Line社群，搜尋小烏鴉~"
主文,東海大學,2021/10/17 07:49,#請益 基金0050真的穩賺不賠嗎？,我追蹤定期定額0050已經一段時間，發現這隻基金和臺灣情勢滿相關的，只要電子產業類股漲，0050也會上升，買入後持有久了，居然比把錢放在銀行強多了，大家認為呢？
留言,國立臺灣大學,2021/10/17 08:39,#請益 基金0050真的穩賺不賠嗎？,你自己也知道跟台灣情勢相關，所以風險就是台灣經濟走下坡，就看你想不相信台灣經濟走向是往上走了
留言,國立臺灣大學,2021/10/17 08:43,#請益 基金0050真的穩賺不賠嗎？,非洲線喔
留言,國立中興大學,2021/10/17 08:47,#請益 基金0050真的穩賺不賠嗎？,"0050就指數的概念啊
看好台灣買台灣的平均這種感覺
不看好你還有美股可以選"
留言,中國科技大學,2021/10/17 08:51,#請益 基金0050真的穩賺不賠嗎？,銀行一直下降，我是不相信那個指數會輸台灣銀行的利率拉。 這有討論跟沒有一樣
留言,國立中央大學,2021/10/17 09:00,#請益 基金0050真的穩賺不賠嗎？,"股票多頭，你要能挑到這20幾年來放著會輸銀行的也沒幾個，
宏達電、劍湖山？"
留言,國立虎尾科技大學,2021/10/17 10:04,#請益 基金0050真的穩賺不賠嗎？,"被你發現財富密碼了
還不快歐印"
留言,B.W,2021/10/17 10:28,#請益 基金0050真的穩賺不賠嗎？,哪有穩賺不賠的東西….
留言,亞洲大學,2021/10/17 10:50,#請益 基金0050真的穩賺不賠嗎？,對，歐印！
留言,嘉南藥理大學,2021/10/17 11:11,#請益 基金0050真的穩賺不賠嗎？,當你覺得0050穩賺不賠台灣就倒了
留言,國立彰化師範大學,2021/10/17 11:17,#請益 基金0050真的穩賺不賠嗎？,厲害喔！這樣都被你發現了
留言,臺灣警察專科學校,2021/10/17 11:46,#請益 基金0050真的穩賺不賠嗎？,"笑死那我現在跟你說台灣沒未來
以後要被對岸收割了你是不是不買了"
留言,嘉南藥理大學,2021/10/17 11:48,#請益 基金0050真的穩賺不賠嗎？,0050只是分散風險 不代表穩賺不賠  世上沒有穩賺不賠的東西 總要有農夫還有韭菜來維持股市秩序
留言,台中野獸大雄🐻,2021/10/17 11:58,#請益 基金0050真的穩賺不賠嗎？,等明年過後再買
留言,國立中興大學,2021/10/17 12:01,#請益 基金0050真的穩賺不賠嗎？,沒有穩賺不賠的，但0050能保證你不管賠的或賺的是其他人的平均。
留言,國立中正大學,2021/10/17 12:33,#請益 基金0050真的穩賺不賠嗎？,"過去不代表未來
近幾年股市大多頭"
留言,國立嘉義大學,2021/10/17 12:41,#請益 基金0050真的穩賺不賠嗎？,不會選股就買
留言,輔仁大學,2021/10/17 12:45,#請益 基金0050真的穩賺不賠嗎？,歷史上空頭時間比多頭少非常多，基本上投指數型都不怎麼要擔心
留言,共咖稱,2021/10/17 12:47,#請益 基金0050真的穩賺不賠嗎？,同樣一個商品有人賺錢有人賠錢 問題在哪？
留言,壞壞,2021/10/17 12:47,#請益 基金0050真的穩賺不賠嗎？,持續投下去 五年後就知道了贏一堆當沖韭菜
留言,中國文化大學,2021/10/17 13:03,#請益 基金0050真的穩賺不賠嗎？,廢話嗎 0050阿
留言,國立虎尾科技大學,2021/10/17 13:11,#請益 基金0050真的穩賺不賠嗎？,這不是虛擬股市嗎
留言,東海大學,2021/10/17 13:32,#請益 基金0050真的穩賺不賠嗎？,長期持有 勝率會變高
留言,國立高雄科技大學,2021/10/17 13:38,#請益 基金0050真的穩賺不賠嗎？,長線佈局的確有機會穩賺不賠啊，畢竟ETF會汰弱留強，前提是投資人心態要正確。
留言,清華大學,2021/10/17 14:07,#請益 基金0050真的穩賺不賠嗎？,"長線ok,但不夠快"
留言,原Po,2021/10/17 14:12,#請益 基金0050真的穩賺不賠嗎？,"B2 目前確實看好臺灣的未來。
B3 非洲線是什麼？
B5 台股感覺確實比較好。
B6 我爸就把錢都存銀行，存幾千萬也不買房不買股票等著錢變薄真的讓我傻眼。
B7 我是聽說買0050真的比一堆進出股票上萬次的韭菜強多了。
B8 不會歐印啦，大概拿存款一半去買而已。
B13 我不覺得臺灣會被中國統一，相反我認為獨立可能性比較大。
B16 確實沒穩賺不賠，但是感覺0050很適合長期持有。
B25 我是看施昇輝這幾年一直推薦才去買，感覺真的會賺。"
留言,啊咚,2021/10/17 14:24,#請益 基金0050真的穩賺不賠嗎？,"連續10年買在全年最貴的一天
放到現在還賺，你覺得呢？
放久一定賺，但要能接收比定存高一些的獲利而已"
留言,國立成功大學,2021/10/17 14:50,#請益 基金0050真的穩賺不賠嗎？,"0050或是006208就是最適合懶人的投資 strong buy strong hold就算18000點時all in買下去 20、30 年後你還是會笑那些天天當沖殺進殺出畢業的韭菜 屌打87%韭菜了
當然也不能否定有神人年年績效20% 
可以拿個10萬 20萬閒錢試試看主動選股 1年有沒有打敗大盤再決定要不要短線拼殺囉"
留言,國立臺灣海洋大學,2021/10/17 14:54,#請益 基金0050真的穩賺不賠嗎？,等大空頭的時候會…？
留言,國立臺灣科技大學,2021/10/17 15:49,#請益 基金0050真的穩賺不賠嗎？,"B27 施昇輝的方法蠻簡單實用的
沒太多時間選股的很值得試試
另外大俠武林也很推
閒錢存入固定一檔配息穩定的金融股
尤其台股大跌時撿便宜
累積夠多本金分批投入 
老了靠每年配息就可以過活
但心態上最好不要想著賺價差
因為目標是累積足夠張數和穩定配息
但如果還年輕 
本金有限+目的是高資金週轉率
波段操作可能更好
畢竟本金大小. 操作模式因人而異
選適合你的方法 能小虧大賺就行了"
留言,國立政治大學,2021/10/17 16:29,#請益 基金0050真的穩賺不賠嗎？,不是，誰跟你說穩賺不賠
留言,國立臺北大學,2021/10/17 17:09,#請益 基金0050真的穩賺不賠嗎？,笑死住山上
留言,匿名,2021/10/17 17:15,#請益 基金0050真的穩賺不賠嗎？,？？？
留言,國立臺灣科技大學,2021/10/17 17:26,#請益 基金0050真的穩賺不賠嗎？,當沖就是跟他拼一波，ETF就是用時間換錢平均會比定存高.
留言,國立政治大學,2021/10/17 17:29,#請益 基金0050真的穩賺不賠嗎？,啊台灣權值股一堆電子業啊==
留言,國立臺中科技大學,2021/10/17 21:55,#請益 基金0050真的穩賺不賠嗎？,"你的資訊延遲了十幾年有吧
剛進股市的孩子"
留言,匿名,2021/10/17 22:18,#請益 基金0050真的穩賺不賠嗎？,股票不可能穩賺不賠，沒有風險哪來的報酬，完全沒風險的東西叫做定存，0050只能跟你說勝率比較穩，然後若是你想玩指數很建議你去玩美股，VOO，SPY之類ETF手續費便宜很多可以選擇的標的也比較多
留言,真理大學,2021/10/17 23:01,#請益 基金0050真的穩賺不賠嗎？,"不是有人去買0050賠錢
自己去分析為什麼人家買了會賺會賠
在這邊問
你不研究
跟你講那麼多
你是聽得懂嗎？"
留言,國立臺灣海洋大學,2021/10/17 23:55,#請益 基金0050真的穩賺不賠嗎？,放長期確實穩贏啊 我從2011開始存 根本沒在看盤 無腦定期定額 贏過本版所有線仙跟沖仔短線仔 浪費一堆時間研究還輸錢 一律建議買0050 越早開始越好
留言,國立空中大學,2021/10/18 00:29,#請益 基金0050真的穩賺不賠嗎？,"你放五年一定是賺的
平均來說0050年化5%
S&P500是8%
比特幣是15%
以上是最保守估計
供您參考"
留言,元智大學,2021/10/18 00:41,#請益 基金0050真的穩賺不賠嗎？,"沒什麼是穩賺不賠的 你確定台灣不會碰到失落三十年?
0050只持有50檔 台灣又是電子產業重鎮 
我是建議不如選美股指數 
一次持有上百檔 產業又較分散 
長期來看風險更小 績效表現還更好
單一市場也會怕的話 那就再選全球市場指數
還有我是建議不要再看施昇輝了
他的KD大法爛到笑 
網路上有人回測過根本沒有比無腦死抱還賺 反而還傷害原本長期持有績效
會推那種KD大法的人 對指數被動投資一定都沒有深刻認識"
留言,國立交通大學,2021/10/18 01:10,#請益 基金0050真的穩賺不賠嗎？,不是
留言,國立聯合大學,2021/10/18 02:23,#請益 基金0050真的穩賺不賠嗎？,..你的觀察根本是廢話不是嗎
留言,宏所以,2021/10/18 03:00,#請益 基金0050真的穩賺不賠嗎？,客戶不好找，太多人在上面寫了。
留言,中原大學,2021/10/18 03:23,#請益 基金0050真的穩賺不賠嗎？,"0050殖利率才3%
只是死存股並沒有什麼特別之處
但如果有能力做價差，像現在這種震盪盤0050是很好的標的。
畢竟大盤趨勢就在16000-18000區間走，跟著布林通道高出低進即可"
留言,亞洲大學,2021/10/18 03:44,#請益 基金0050真的穩賺不賠嗎？,過去10年是真的有在漲，但下個10年就未必
留言,國立屏東大學,2021/10/18 03:45,#請益 基金0050真的穩賺不賠嗎？,B45 請問要VT還是VTI呢？
留言,國立政治大學,2021/10/18 04:27,#請益 基金0050真的穩賺不賠嗎？,沒有期限的期貨 你想凹多久就凹多久啊 反正總有一天會賺 到老了都還沒賺那就傳給孩子 繼續等
留言,國立臺灣科技大學,2021/10/18 04:30,#請益 基金0050真的穩賺不賠嗎？,學到了謝謝
留言,國立雲林科技大學,2021/10/18 04:49,#請益 基金0050真的穩賺不賠嗎？,"B51
這二隻性質有點不同
想分散風險就VT 畢竟是全球股市
相信美國拔拔就選VTI 報酬比VT多一點 但單壓一個國家風險也高一點
我相信拔拔所以all in VTI 啦 畢竟美股不好的話 其他國家不會好到哪去"
留言,元智大學,2021/10/18 05:15,#請益 基金0050真的穩賺不賠嗎？,"B51
其實還滿難給出答案的
樓上說美國不好其他國家也不會好 我個人持保留態度
近十年美國股市表現的確非常強勁 
但2000~2010這段時間美國股市其實是落後於全球股市表現
再往前回顧其實也都有輸給國際總體股市的時候
我不知道未來誰會表現比較好 
搞不好美國又走一個十年超級大多頭
但VT風險較低是可以肯定的"
留言,國立臺灣師範大學,2021/10/18 05:29,#請益 基金0050真的穩賺不賠嗎？,對啊穩賺不賠
留言,Slash,2021/10/18 05:38,#請益 基金0050真的穩賺不賠嗎？,0050表示：我不是基金啊
留言,國立虎尾科技大學,2021/10/18 05:52,#請益 基金0050真的穩賺不賠嗎？,"B51 可以 VTI + VXUS
美國市場+非美全球市場
VT全球市場持股太多，中後面的影響幾乎少之又少所以才會有以上的搭配"
留言,靜宜大學,2021/10/18 06:48,#請益 基金0050真的穩賺不賠嗎？,你資訊落後的程度大概還可以all in長榮
留言,國立宜蘭大學,2021/10/18 07:11,#請益 基金0050真的穩賺不賠嗎？,"快點 你還來得及上船
加油欸 要多買貨櫃三寶"
